
Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Ambasada Airijoje (Nr.1) rinkimų apylinkė

Tėvynės sąjunga - Lietuvos krikščionys demokratai

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
128	ALGIMANTAS VAITKUS	109	
129	ALGIRDAS GASIŪNAS	128	1
130	MINDAUGAS PETRAS BALAŠAITIS	107	
131	DARIUS JUODAITIS	112	
132	VYTAUTAS GIMŽAUSKAS	127	
133	VITOLIS JANUŠEVIČIUS	84	
134	GINTAUTAS MACKONIS	121	
135	PAULIUS MARTINKĖNAS	129	
136	VIDA STASĖ SKARELIENĖ	89	
137	DARIUS ŠEŠKEVIČIUS	125	
138	VIKTORAS GANUSAUSKAS	120	
139	EDGARAS NORGELA	122	
140	ALDONA JANUŠEVIČIENĖ	78	
Pastaba. Daugiamandatėje apygardoje išrinkti Seimo nariai užrašyti paryškintu šriftu. Vienmandatėje apygardoje išrinkti kandidatai pažymėti žyma "(V)"
Biudžetinė įstaiga, Gynėjų g. 8, 01109 Vilnius
Informacija rinkėjui 1855
Faksas: (8 5) 239 69 60
El. paštas: rinkim@vrk.lt
Duomenys kaupiami ir saugomi
Juridinių asmenų registre, kodas 188607150
 
 



Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Ambasada Airijoje (Nr.1) rinkimų apylinkė

Lietuvos valstiečių ir žaliųjų sąjunga

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
1	SAULIUS SKVERNELIS	1	73
2	RAMŪNAS KARBAUSKIS	2	71
3	RIMA BAŠKIENĖ	3	26
4	AURELIJUS VERYGA	5	27
5	POVILAS URBŠYS	7	22
6	EUGENIJUS JOVAIŠA	4	20
7	DAINIUS KEPENIS	10	17
8	STASYS JAKELIŪNAS	9	16
9	VIKTORAS PRANCKIETIS	6	15
10	ANDRIEJUS STANČIKAS	8	13
11	VYTAUTAS BAKAS	12	18
12	GUODA BUROKIENĖ	11	2
13	VALERIJUS SIMULIK	16	4
14	JONAS JARUTIS	14	8
15	MINDAUGAS PUIDOKAS	22	4
16	BRONIUS MARKAUSKAS	15	
17	DOVILĖ ŠAKALIENĖ	30	24
18	VIKTORAS RINKEVIČIUS	13	4
19	STASYS TUMĖNAS	29	1
20	VIRGILIJUS PODERYS	18	2
21	AGNĖ ŠIRINSKIENĖ	21	5
22	GEDIMINAS VASILIAUSKAS	17	3
23	EGIDIJUS VAREIKIS	141	
24	GRETA KILDIŠIENĖ	25	2
25	DAINIUS GAIŽAUSKAS	58	9
26	KĘSTUTIS SMIRNOVAS	20	2
27	KĘSTUTIS MAŽEIKA	39	8
28	RŪTA MILIŪTĖ	114	1
29	VIRGINIJUS SINKEVIČIUS	26	
30	ALFREDAS STASYS NAUSĖDA	65	
31	VALIUS ĄŽUOLAS	48	
32	VIDA AČIENĖ	45	1
33	GINTAUTAS KINDURYS	24	
34	JUOZAS RIMKUS	32	
35	ASTA KUBILIENĖ	36	
36	AUŠRA PAPIRTIENĖ	38	3
37	JUSTAS DŽIUGELIS	23	4
38	VIRGINIJA VINGRIENĖ	27	1
39	ROBERTAS ŠARKNICKAS	49	5
40	BRONISLOVAS MATELIS	28	1
41	PETRAS NEVULIS	19	
42	AUŠRINĖ NORKIENĖ	53	1
43	TOMAS TOMILINAS	47	
44	VYTAUTAS RASTENIS	54	
45	ARŪNAS GUMULIAUSKAS	34	2
46	ANTANAS BAURA	31	1
47	AUDRONĖ JANKUVIENĖ	46	
48	NERINGA TRINSKIENĖ	33	
49	JUOZAS PABRĖŽA	67	1
50	RIMANTAS VALIUKAS	35	2
51	AUDRYS ŠIMAS	37	
52	GIEDRIUS SURPLYS	56	2
53	ZENONAS STREIKUS	40	
54	VITALIJA JANKAUSKAITĖ-MILČIUVIENĖ	73	1
55	ALGIMANTAS BIRBILAS	55	
56	JUOZAS VARŽGALYS	44	
57	PAULIUS ZAVIŠA	50	2
58	ANTANAS KLIUNKA	62	
59	VYTAUTAS BARKAUSKAS	85	
60	ARVYDAS NEKROŠIUS	68	3
61	BIRUTĖ JATAUTAITĖ	84	4
62	LAURAS STACEVIČIUS	61	
63	DEIMANTĖ ŠARLAUSKIENĖ	140	
64	PETRAS VALIŪNAS	69	
65	ALGIMANTAS KIRKUTIS	52	
66	ARMINAS MOCKEVIČIUS	70	
67	IZIDORIUS ŠIMKUS	87	
68	ANTANAS RAINYS	139	
69	GAILA MATULYTĖ	93	
70	DARIUS RAMANČIONIS	97	
71	LEVUTĖ STANIUVIENĖ	51	2
72	LAIMUTĖ MATKEVIČIENĖ	76	
73	ARŪNAS MERKELIS	64	
74	BENIUS RŪTELIONIS	41	
75	KĘSTUTIS ARMONAS	89	
76	EIMANTAS SALATKA	71	
77	AURIMAS GAIDŽIŪNAS	59	
78	ADELĖ ŠTELMOKIENĖ	79	
79	KAROLIS MARTINKUS	72	
80	JUOZAS DAPŠAUSKAS	80	2
81	GINTARAS STAŠIONIS	77	
82	TOMAS BAKUČIONIS	43	
83	ARŪNAS GRAŽULIS	91	
84	LINA NEMEIKŠIENĖ	66	1
85	VALENTINAS GRAŽULIS	122	
86	AUDRIUS DAUNORAVIČIUS	137	
87	ĄŽUOLAS RAŠKEVIČIUS	78	
88	DENIS MICHALENKO	95	
89	AUSMA MIŠKINIENĖ	131	
90	DARIUS PETRAUSKAS	60	1
91	VIDMANTAS PALIULIS	90	
92	AUDRIUS STANKEVIČIUS	100	
93	JONAS ŠIMKUS	116	
94	ANTANAS PLIESKIS	42	
95	ALVYDAS ŽUVININKAS	112	
96	AGNĖ PRUŠINSKAITĖ	118	
97	VALDAS ŽIČKA	127	
98	RIMANTĖ MISIŪNIENĖ	86	
99	VILMA RUMŠIENĖ	111	
100	VYTAUTAS VĖŽELIS	101	
101	BIRUTĖ GILER	104	1
102	MARTYNAS NORBUTAS	99	
103	MARIJONAS ČAPKOVSKIS	57	
104	VITALIUS BESAKIRSKAS	63	
105	ANDRIUS ŠIMAS	132	
106	BRONISLOVAS LIUTKUS	88	
107	ANDRIUS TAMULIONIS	120	
108	ROMAS PIVORAS	102	
109	EGLĖ STASIŠKIENĖ	130	
110	VAIDAS TALAČKA	108	1
111	VALENTINAS DYLERTAS	136	
112	ARŪNAS GLAVICKAS	138	
113	JONAS JAKAITIS	96	
114	TADAS GALINAITIS	126	
115	PETRAS VAITELIS	129	
116	JADVYGA ČEPLIKIENĖ	94	
117	BIRUTĖ STANKEVIČIENĖ	128	
118	KĘSTAS SPŪDYS	125	
119	REMIGIJUS KELNERIS	105	
120	KĘSTUTIS BACVINKA	83	
121	SIGITA ČERNEVIČIENĖ	135	
122	KAZYS VIRŠILAS	103	
123	KĘSTUTIS DAMBRAUSKAS	115	
124	ALBERTAS ŠILKAITIS	121	
125	ARŪNAS ANDZIULIS	81	
126	ANDRIEJUS VIRKUTIS	110	
127	DOMINYKAS TUTKUS	92	1
128	ROLANDAS STANKEVIČIUS	82	1
129	ARŪNAS AMBRASAS	109	
130	RAIMUNDAS STANKEVIČIUS	134	
131	NIJOLĖ VALUCKIENĖ	113	
132	RIMANTAS ŽIDANAVIČIUS	107	
133	ALEKSANDRA MINAJEVA	75	
134	GINTARAS BINKAUSKAS	124	
135	ALGIRDAS BANSEVIČIUS	106	
136	DAINIUS ŠVIPAS	119	
137	ARŪNAS ŠČERBAVIČIUS	117	
138	SIGITAS ALGIS DAVENIS	123	
Pastaba. Daugiamandatėje apygardoje išrinkti Seimo nariai užrašyti paryškintu šriftu. Vienmandatėje apygardoje išrinkti kandidatai pažymėti žyma "(V)"
Biudžetinė įstaiga, Gynėjų g. 8, 01109 Vilnius
Informacija rinkėjui 1855
Faksas: (8 5) 239 69 60
El. paštas: rinkim@vrk.lt
Duomenys kaupiami ir saugomi
Juridinių asmenų registre, kodas 188607150
 
 



Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Ambasada Airijoje (Nr.1) rinkimų apylinkė

Lietuvos socialdemokratų partija

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
1	ALGIRDAS BUTKEVIČIUS	1	11
2	GEDIMINAS KIRKILAS	6	11
3	RASA BUDBERGYTĖ	3	3
4	ALGIRDAS SYSAS	2	6
5	JUOZAS OLEKAS	4	5
6	JULIUS SABATAUSKAS	10	3
7	JURAS POŽELA	8	3
8	ALGIMANTAS SALAMAKINAS	16	5
9	LINAS ANTANAS LINKEVIČIUS	34	4
10	RAMINTA POPOVIENĖ	5	1
11	IRENA ŠIAULIENĖ	7	1
12	JUOZAS BERNATONIS	17	1
13	RIMANTĖ ŠALAŠEVIČIŪTĖ	22	1
14	ARTŪRAS SKARDŽIUS	23	2
15	BRONIUS BRADAUSKAS	30	1
16	MARIJA AUŠRINĖ PAVILIONIENĖ	25	6
17	BENEDIKTAS JUODKA	14	6
18	BIRUTĖ VĖSAITĖ	18	1
19	EDVARDAS ŽAKARIS	12	4
20	ANTANAS SIREIKA	141	1
21	RIMANTAS BENETIS	31	2
22	RIMANTAS SINKEVIČIUS	27	
23	ANTANAS VINKUS	61	
24	ORINTA LEIPUTĖ	20	3
25	RAMŪNAS BUROKAS	11	
26	MILDA PETRAUSKIENĖ	15	
27	DARIUS PETROŠIUS	24	1
28	GINTAUTAS PALUCKAS	41	1
29	ANTANAS NESTECKIS	46	
30	ARVYDAS MOCKUS	52	1
31	KRISTINA MIŠKINIENĖ	13	4
32	JUSTAS PANKAUSKAS	19	1
33	ALGIRDAS BALČYTIS	81	1
34	LINAS JONAUSKAS	56	
35	AUKSĖ KONTRIMIENĖ	9	
36	ALBINAS MITRULEVIČIUS	21	1
37	DAINIUS PAVALKIS	77	1
38	ANDRIUS PALIONIS	38	
39	FAUSTAS LATĖNAS	62	
40	AURELIJA MAKŪNIENĖ	75	
41	GINTAUTAS MIKOLAITIS	53	
42	EDMUNDAS JONYLA	33	
43	ARŪNAS DUDĖNAS	37	1
44	BRONIUS PAUŽA	26	1
45	ALMA MONKAUSKAITĖ	28	
46	PRANAS PETROŠIUS	72	
47	DOMAS PETRULIS	47	1
48	MARIUS SKARUPSKAS	32	
49	VIDAS MIKALAUSKAS	70	
50	MINDAUGAS BASTYS	43	
51	VYDAS BARAVYKAS	66	
52	VIRGINIJUS NOREIKA	132	2
53	SAULIUS URBONAS	87	
54	RIMANTAS VAITKUS	42	1
55	KAZYS GRYBAUSKAS	57	1
56	EDUARDAS ŠABLINSKAS	51	1
57	MARIUS NORVAIŠA	86	
58	RITA GRIGALIENĖ	99	
59	ALBINAS EŽERSKIS	71	
60	IRENA MACIJAUSKIENĖ	35	
61	DIANA KAUPAITIENĖ	39	1
62	JONAS AUDĖJAITIS	48	
63	TOMAS MARTINAITIS	97	
64	MODESTA PETRAUSKAITĖ	45	1
65	EGIDIJUS GAIDAMAVIČIUS	103	
66	MINDAUGAS JANULIONIS	140	
67	VIDMANTAS NORVAIŠAS	119	1
68	LINA KUJALYTĖ	58	
69	LILIJA PETRAITIENĖ	36	
70	LAIMA NAGIENĖ	44	
71	GIEDRĖ PURVANECKIENĖ	29	1
72	JŪRATĖ JUOZAITIENĖ	50	
73	GINTARĖ JANULAITYTĖ	121	
74	ALEKSANDRAS ZELTINIS	60	2
75	SAULIUS MARGIS	111	
76	JONAS BUDREVIČIUS	88	
77	EFREMA BITINIENĖ	105	
78	DARIUS RAZMISLEVIČIUS	78	
79	VYTAUTAS SAULIS	65	1
80	DOVILĖ ADAMONYTĖ	59	
81	VASILIJUS POPOVAS	93	
82	VAIDA ALEKNAVIČIENĖ	49	
83	ONA BABONIENĖ	55	
84	MARGARITA JANKAUSKAITĖ	90	2
85	RASA ŠNAPŠTIENĖ	54	
86	RENATA DRULIENĖ	40	1
87	MANTAS VARAŠKA	136	
88	ALGIS MIŠKINIS	114	
89	VYTAUTAS ZALIECKAS	73	
90	GINTAUTAS SITNIKAS	113	
91	MARIUS MUIŽINIKAS	96	
92	BRONISLAVAS POLITA	137	
93	BENEDIKTAS PETRAUSKAS	98	
94	JŪRATĖ ZAILSKIENĖ	100	
95	ALGIRDAS RASLANAS	82	
96	JULIUS PAGOJUS	68	1
97	IRENA SIRUSIENĖ	67	
98	VALDAS ŠEREIKA	139	
99	KĘSTUTIS VILKAUSKAS	130	
100	ERNESTA APANAVIČIŪTĖ	69	
101	DAINIUS BUDRYS	83	
102	DONATAS DEGENIS	107	
103	KLAVDIJA STEPANOVA	63	1
104	ALGIRDAS MARKEVIČIUS	138	
105	ASTA JASIŪNIENĖ	95	
106	ANTANAS VALYS	76	
107	DARIUS ŠINKŪNAS	135	
108	ARVYDAS VAITKUS	129	
109	SERGEJUS TICHOMIROVAS	122	
110	ALGIS VAITKEVIČIUS	118	
111	LINA KYBARTAITĖ-JOKUBAUSKIENĖ	104	
112	SAULIUS POVILAITIS	92	
113	LIUDAS JONAITIS	127	1
114	ALGIS ČEPULIS	125	
115	KĘSTUTIS KVARACIEJUS	133	1
116	DONATAS AUGULIS	123	
117	IRENA KALKIENĖ	80	
118	DAIVA ČERNIUVIENĖ	120	
119	ALGIRDAS ŠEŠELGIS	102	
120	ROLANDAS ZUOZA	128	3
121	JUSTINAS SARTAUSKAS	91	1
122	DALIA SAVICKAITĖ	124	
123	ARVYDAS BALČIŪNAS	126	
124	LIGITA LIUTIKIENĖ	109	
125	ZDISLAVAS SKVARCIANY	110	
126	JANINA GAIDŽIŪNAITĖ	108	
127	VIDA MARTIŠIENĖ	84	
128	LIJANA KAIRIENĖ	85	
129	PATRICIJA PODERYTĖ	116	
130	DANAS PALUCKAS	106	
131	VALENTIN GAVRILOV	117	
132	ARTŪRAS RUDOMANSKIS	115	
133	BERNARDINAS PETRAS VAINIUS	131	
134	AUGENIJUS CESEVIČIUS	134	
135	VIDA REKEŠIENĖ	94	
136	ELENA ČEKIENĖ	64	
137	ANNA KUZNECOVIENĖ	89	
138	TEREZA SOTNIK	74	
139	JONAS KIRILIAUSKAS	112	
140	JANINA ŠOKAITIENĖ	79	
Pastaba. Daugiamandatėje apygardoje išrinkti Seimo nariai užrašyti paryškintu šriftu. Vienmandatėje apygardoje išrinkti kandidatai pažymėti žyma "(V)"
Biudžetinė įstaiga, Gynėjų g. 8, 01109 Vilnius
Informacija rinkėjui 1855
Faksas: (8 5) 239 69 60
El. paštas: rinkim@vrk.lt
Duomenys kaupiami ir saugomi
Juridinių asmenų registre, kodas 188607150
 
 



Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Ambasada Airijoje (Nr.1) rinkimų apylinkė

Lietuvos Respublikos liberalų sąjūdis

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
1	EUGENIJUS GENTVILAS	1	41
2	VIRGILIJUS ALEKNA	2	37
3	GINTARAS STEPONAVIČIUS	7	31
4	VIKTORIJA ČMILYTĖ-NIELSEN	4	36
5	VITALIJUS GAILIUS	3	13
6	AUŠRINĖ ARMONAITĖ	19	29
7	ARŪNAS GELŪNAS	5	16
8	KĘSTUTIS GLAVECKAS	9	16
9	SIMONAS GENTVILAS	6	13
10	ANDRIUS MAZURONIS	11	3
11	ARMINAS LYDEKA	23	12
12	ŽYDRŪNAS SAVICKAS	8	12
13	DALIA KUODYTĖ	10	17
14	ROMAS SADAUSKAS	20	18
15	ŠARŪNAS GUSTAINIS	22	8
16	DALIA TEIŠERSKYTĖ	28	5
17	LINAS KVEDARAVIČIUS	21	8
18	SIMONAS KAIRYS	12	5
19	VINCAS JURGUTIS	39	7
20	ANDRIUS BAGDONAS	14	8
21	JULIJA MACKEVIČ	18	5
22	MARIUS GOROCHOVSKIS	78	8
23	GIEDRĖ MENDOZA HERRERA	35	9
24	JOLITA VAICKIENĖ	25	5
25	RIMANTAS MIKAITIS	32	1
26	MARIJUS KAUKĖNAS	16	4
27	LUKAS PAKELTIS	13	2
28	SKIRMANTAS TUMELIS	98	2
29	ARTŪRAS ŠULCAS	30	3
30	JONAS LIESYS	26	1
31	VIDMANTAS MARTIKONIS	24	2
32	REMIGIJUS OSAUSKAS	15	1
33	VYTAUTAS MITALAS	50	
34	EGIDIJUS PAPEČKYS	141	2
35	EDMUNDAS KVEDERIS	64	2
36	ASTA ULINSKAITĖ	140	1
37	GINTARAS VAIČEKAUSKAS	73	3
38	DARIUS STANKUS	38	
39	ONA BALŽEKIENĖ	44	
40	VAIDAS BACYS	55	1
41	APOLINARAS NICIUS	17	2
42	RIMANTAS REMEIKA	48	1
43	SIGITAS ŠLIAŽAS	52	2
44	SAULIUS BUCEVIČIUS	27	2
45	RIČARDAS JUŠKA	34	
46	REDA ZAKARAUSKAITĖ	40	2
47	MARTYNAS NAGEVIČIUS	84	
48	DAIVA JUODELIENĖ	36	1
49	JUSTINA KAŠĖTAITĖ	51	1
50	JONAS VARKALYS	59	
51	NIJOLĖ MAKŠTUTIENĖ	45	
52	BENJAMINAS MAŠALAITIS	54	2
53	DAINIUS ŽILIUS	70	
54	ALGIRDAS GEČAS	92	1
55	VALDEMARAS JAKŠTAS	33	
56	AUDRONĖ BALNIONIENĖ	37	
57	ANGELĖ JAKAVONYTĖ	49	1
58	JUOZAS BAUBLYS	89	
59	RITA BALČIŪNIENĖ	42	
60	DANUTĖ SKRUIBIENĖ	53	1
61	TEISUTIS MAJAUSKAS	69	
62	AUŠRA NORVILIENĖ	82	1
63	GINTARAS KLEIZA	136	
64	MARCIJONAS URMONAS	29	2
65	TADAS LABUTIS	75	
66	ALBERTAS LAKŠTAUSKAS	47	
67	LEONIDAS SOLOGUBOVAS	61	1
68	NIJOLĖ MATULIENĖ	60	
69	KAROLIS BALČIŪNAS	80	
70	SAULIUS SINICKIS	96	1
71	BRIGITA GAITANŽI	87	
72	VIRGINIJUS STEPONAVIČIUS	90	3
73	NARŪNAS LENDRAITIS	66	
74	VILIJA GUCEVIČIŪTĖ	116	1
75	GINTAUTAS KRILAVIČIUS	139	
76	SAULIUS LIEKIS	123	
77	MINDAUGAS SABALIAUSKAS	79	
78	REDA KNEIZEVIČIENĖ	71	1
79	GYTIS LUKOŠEVIČIUS	46	
80	ROLANDAS BAGDONAS	95	
81	KĘSTUTIS SAVICKAS	76	
82	REGINA RUPŠIENĖ	107	1
83	RAMŪNAS MACIUKEVIČIUS	43	1
84	GINTARAS ŠURNA	74	
85	AIVARAS VASYLIUS	83	1
86	VIRGILIJUS EIDIMTAS	31	
87	VAIDAS KUKARĖNAS	63	
88	VIRGINIJA CHOMENTAUSKAITĖ	109	
89	MINDAUGAS MAČERNIS	133	3
90	VIDMANTAS VALANTIEJUS	81	1
91	EDUARDAS PABARČIUS	41	
92	MARIUS GURSKAS	137	
93	MODESTAS PETRAITIS	68	
94	KASPARAS ADOMAITIS	132	
95	MARIJUS RIMAS	125	
96	INGA ABRUTYTĖ	115	
97	LIUDAS KAŠKONAS	138	1
98	GEDIMINAS JEGELEVIČIUS	85	
99	ARVYDAS MARTINKĖNAS	117	
100	ŠARŪNAS SKUČAS	131	
101	LINAS JUOZĖNAS	86	
102	GEDAS KUKANAUSKAS	72	2
103	ROMUALDAS JABLONSKIS	101	
104	TOMAS EITUTIS	93	
105	VIDA ŠALČIUVIENĖ	58	
106	PAVEL KOVTUNEC	106	1
